"numero","titre","chapitre","section","contenu"
"49","DISPOSMONS GENERALES","De l'infraction","De la participation à l'infraction","Tout coauteur ou complice d'un crime ou d'un délit est également responsable pénalement de toute infraction dont la commission était une conséquence prévisible de l'action concertée ou de la complicité."
"50","DISPOSMONS GENERALES","De l'infraction","De la participation à l'infraction","Si plusieurs auteurs agissent ensemble et de concert, ils sont chacun passibles des peines sanctionnant l'infraction commise. Aucun .d'eux ne peut se prévaloir des exceptions, excuses ou immunités de l'autre."
"51","DISPOSMONS GENERALES","De l'infraction","De la participation à l'infraction","Les coauteurs ou complices d'un crime ou d'un délit sont punis des mêmes peines et des mêmes mesures de sûreté que l'auteur principal de ce crime ou de ce délit, sauf lorsque la loi en dispose autrement."
"52","DISPOSMONS GENERALES","De l'infraction","De la participation à l'infraction","Tout individu qui, sciemment et sans équivoque, incite un tiers par l'un des moyens énumérés à l'article 48 à commettre un crime ou un délit, est puni comme auteur de ce crime ou de ce délit, même si celui-ci n'a pas été tenté ou consommé. Il en est de même de celui qui organise ou dirige la commission de l'infraction. Paragraphe 3 : Des infractions commises par les personnes morales"
"53","DISPOSMONS GENERALES","De l'infraction","De la participation à l'infraction","Sauf dispositions spéciales ou dérogatoires, les personnes morales à l'exclusion de l'Etat, sont pénalement responsables des infractions prévues par le présent code, commises, pour leur compte par leurs organes ou représentants. La référence aux personnes morales dans le présent code s'entend toujours des personnes morales togolaises ou étrangères. Toutefois, les collectivités territoriales et leurs groupements ne sont pénalement responsables que des infractions commises dans l'exercice d'activités susceptibles de faire l'objet de conventions de délégation de service public, d'activités relatives à la passation des marchés publics ou d'actes de gestion des finances publiques. La responsabilité pénale des personnes morales n'exclut pas celle des personnes physiques auteurs ou complices des mêmes faits, sous réserve des dispositions de l'article 17 alinéa 4 du présent code. La personne morale en cause peut, par décision motivée, être déclarée responsable solidairement ou non avec le ou les condamnés au paiement de tout ou partie des amendes, frais et dépens envers l'Etat ainsi que des réparations civiles. Article S4 : Les peines applicables aux personnes morales sont: 1) l'amende qui peut être portée au quintuple de celle encourue par les personnes physiques ou à trois cent millions (300.000.000) de francs CFA si aucune amende n'est prévue; 2) l'exclusion temporaire ou définitive des marchés publics ou du bénéfice des aides publiques octroyées par l'Etat togolais ou des organisations internationales étatiques ou non étatiques, ou la perte et le remboursement des avantages accordés en application des lois et 'règlements en vigueur lorsque ces avantages ont été obtenus frauduleusement par la commission d'infractions réprimées en application du present code; 3) la fermeture temporaire ou définitive des établissements ou de l'un des établissements de la personne morale ayant servi à commettre les faits incriminés, qui se substitue à l'emprisonnement; 4) la confiscation spéciale prévue à l'article 117 du présent code ou la confiscation générale prévue. à l'article 69 du présent code; 5) la fermeture temporaire ou définitive de la succursale d'une personne morale étrangère, ayant servi à commettre les faits incriminés; 6) l'interdiction temporaire ou définitive de procéder à une offre au public de titres et financements ou de faire admettre ses titres financiers aux négociations d'un marché réglementé ; 7) la dissolution, lorsque la personne morale a été créée ou détournée de son objet pour commettre les faits incriminés. Sauf autrement disposées par les lois en vigueur, les peines applicables aux personnes morales sont déterminées par le présent code. Article S5: Les membres des organes d'administration, de direction et de gestion, de droit ou . de fait, qui ont été les instruments de l'infraction commise par la société peuvent être déchus, pour cinq (OS)ans au plus, du droit de diriger, d'administrer ou de gérer une société."
"56","DISPOSMONS GENERALES","De l'infraction","De la participation à l'infraction","Toute condamnation à une peine est publiée au journal officiel, dans un journal d'annonces légales et dans un quotidien à publication nationale aux frais de la personne morale condamnée. La juridiction saisie peut en outre ordonner, aux frais de toute personne morale condamnée, l'affichage ou la publication dans la presse écrite ou par tout moyen de communication électronique au public d'extraits ou de copies des condamnations, lorsque le ministère public en a requis spécialement la condamnation en raison de l'exemplarité de la cause. Paragraphe 4 : Des infractions commises en bande organisée"
"57","DISPOSMONS GENERALES","D : Des alternatives aux poursuites pénales","","Constitue une bande organisée au sens de la loi, tout groupement ou toute entente, de fait ou de droit, constituée, par quelque moyen que ce soit, en vue de la préparation ou de .la commission, caractérisée par un ou plusieurs faits matériels ou juridiques, d'une ou plusieurs infractions. Les infractions commises en bande organisée sont punies par le doublement des peines encourues au titre de ces infractions, sauf dispositions spécialement prévues pour la répression de ces infractions."
"58","DISPOSMONS GENERALES","D : Des alternatives aux poursuites pénales","De la médiation pénale","Les alternatives aux poursuites pénales sont: 1) la médiation pénale; 2) la composition pénale."
"59","DISPOSMONS GENERALES","D : Des alternatives aux poursuites pénales","De la médiation pénale","La médiation est un mécanisme qui vise à conclure une conciliation entrel'auteur d'une infraction ou son représentant légal et la victime ou son représentant légal ou ses ayants droit. Elle a pour objectif d'arrêter les effets des poursuites pénales, d'assurer la réparation du dommage causé à la victime, de mettre fin au trouble résultant de l'infraction et de contribuer au reclassement de l'auteur de l'infraction."
"60","DISPOSMONS GENERALES","D : Des alternatives aux poursuites pénales","De la composition pénale'","Les infractions, les conditions et les modalités du recours à la médiation pénale sont déterminées par le code de procédure pénale."
"61","DISPOSMONS GENERALES","D : Des alternatives aux poursuites pénales","De la composition pénale'","Le procureur de la République, tant que l'action publique n'a pas été mise en mouvement, peut proposer, directement ou par l'intermédiaire d'une personne, habilitée, une composition pénale à une personne physique qui reconnaît avoir commis un ou plusieurs délits punis à titre de peine principale d'une peine d'amende ou d'une peine d'emprisonnement, ainsi que, ·le cas échéant, une ou plusieurs contraventions connexes."
"62","DISPOSMONS GENERALES","V : Des peines","Des dispositions générales","Les infractions, les conditions et les modalités du recours à la composition pénale sont déterminées par le code de procédure pénale. ' ."
"63","DISPOSMONS GENERALES","V : Des peines","Des dispositions générales","Nul ne peut être condamné à des peines en dehors de celles prévues par la loi. Il est tenu compte de l'effet de la peine dans la réinsertion sociale du condamné. Les mesures d'aménagement des peines criminelles et correctionnelles sont déterminées par le code de procédure pénale."
"64","DISPOSMONS GENERALES","V : Des peines","Des dispositions générales","En cas de concours des causes d'aggravation et d'atténuation de la peine, le maximum et le minimum des peines encourues sont fixés en prenant en compte successivement: 1) les circonstances aggravantes inhérentes à la réalisation de l'infraction; 2) les circonstances aggravantes inhérentes à la personnalité de l'auteur de l'infraction; 3) les excuses atténuantes inhérentes à la réalisation de l'infraction; 4) les excuses atténuantes inhérentes à la personnalité de l'auteur de l'infraction; 5) l'état de récidive."
"65","DISPOSMONS GENERALES","V : Des peines","Des peines criminelles","En cas de concours entre circonstances aggravantes et excuses atténuantes, il y a lieu de privilégier d'abord les circonstances aggravantes, ensuite l'excuse atténuante, enfin la récidive. En cas de concours entre circonstances atténuantes et circonstances aggravantes tenant à la récidive de peine correctionnelle à peine correctionnelle, il y a lieu d'abaisser d'abordla peine par application des circonstances atténuantes et faire intervenir ensuite la récidive de peine correctionnelle àpeine correctionnelle. En cas de concours entre la récidive et une circonstance aggravante, il y a lieu d'appliquer la circonstance aggravante avant la récidive, ce qui exclut l'application des circonstances atténuantes et même du sursis."
"66","DISPOSMONS GENERALES","V : Des peines","Des peines criminelles","Les peines criminelles sont: 1) la réclusion à temps; 2) la confiscation générale; 3) la déchéance civique. Paragraphe 1: De la réclusion à temps"
"67","DISPOSMONS GENERALES","V : Des peines","Des peines criminelles","La réclusion à temps est une peine criminelle de cinq (05) à cinquante (50) ans."
"68","DISPOSMONS GENERALES","V : Des peines","Des peines criminelles","La réclusion est subie dans un établissement pénitentiaire aménagé pour les longues peines. Un décret en conseil des ministres détermine les conditions de travail des réclusionnaires et le régime disciplinaire de l'établissement. Pendant leur détention, les réclusionnaires sont frappés de déchéance civique et d'incapacité civile. Leurs biens sont gérés par un tuteur comme ceux d'un mineur. Paragraphe 2 : De la eonflseation générale"
"69","DISPOSMONS GENERALES","V : Des peines","Des peines criminelles","La confiscation générale porte sur tout ou fraction de l'universalité des biens présents composant le patrimoine du condamné, après satisfaction des droits éventuels de son conjoint, de ses coindivisaires ou cohéritiers, sans toutefois porter atteinte aux droits des tiers sur lesdits biens."
"70","DISPOSMONS GENERALES","V : Des peines","Des peines criminelles","La réserve des héritiers, calculée après apurement du passif, échappe à la confiscation ainsi que les biens déclarés insaisissables par la loi, les biens personnels du conjoint ou des enfants dont le condamné avait eu l'administration, la gestion ou la disposition en fait ou en vertu de la loi. Si le condamné est marié, la confiscation ne porte que sur ses biens propres et sur sa part dans le partage de la communauté ou des biens indivis entre son conjoint et lui."
"71","DISPOSMONS GENERALES","V : Des peines","Des peines criminelles","La licitation des biens confisqués est pratiquée si elle est indispensable au partage entre les intéressés ou requise par l'administration des domaines. Dans le cas contraire, les titres de propriété foncière sont transférés au domaine de l'Etat. Paragraphe 3 : De la déchéance civique"
